p0,p1,prediction
0.4390733543917326,0.5609266456082674,1
0.4434997129886563,0.5565002870113437,1
0.4596267152671971,0.5403732847328027,0
0.43983481942201885,0.5601651805779811,1
0.4558107026332757,0.5441892973667244,0
0.4440881237590375,0.5559118762409623,1
0.4398017272424662,0.5601982727575339,1
0.45986939945566946,0.5401306005443306,0
0.45134563499091657,0.5486543650090835,0
0.5,0.5,0
0.437576004139218,0.562423995860782,1
0.5,0.5,0
0.4604219541396984,0.5395780458603018,0
0.46296774390552886,0.5370322560944712,0
0.4270096445929871,0.5729903554070127,1
0.46250058664478216,0.5374994133552178,0
0.441458669680539,0.5585413303194607,1
0.444496207699914,0.5555037923000858,1
0.4406175090622069,0.5593824909377931,1
0.4511231282396395,0.5488768717603605,0
0.4529704976797401,0.5470295023202599,0
0.4799875045547977,0.5200124954452023,0
0.4303014728880214,0.5696985271119788,1
0.45475090633543186,0.545249093664568,0
0.43742170159789673,0.5625782984021033,1
0.4398841130267765,0.5601158869732236,1
0.4031738134841098,0.5968261865158904,1
0.4566508998634705,0.5433491001365294,0
0.44130253101335454,0.5586974689866454,1
0.46932211138094776,0.5306778886190522,0
0.4449083729497525,0.5550916270502474,1
0.46100987438292823,0.5389901256170717,0
0.445731825638451,0.554268174361549,0
0.4575279760424619,0.5424720239575381,0
0.398103244202224,0.6018967557977761,1
0.4394230122262561,0.5605769877737437,1
0.4265399484563237,0.5734600515436762,1
0.4617420097173623,0.5382579902826377,0
0.4353567228997405,0.5646432771002594,1
0.37805292939069884,0.6219470706093011,1
0.42697612033927645,0.5730238796607237,1
0.45559144344352387,0.544408556556476,0
0.4616973553447798,0.5383026446552202,0
0.4388547565320106,0.5611452434679893,1
0.4607044411312885,0.5392955588687117,0
0.4697302852414889,0.530269714758511,0
0.47002695254922155,0.5299730474507784,0
0.44909445794031755,0.5509055420596825,0
0.4531068602367407,0.5468931397632594,0
0.44063429079996996,0.5593657092000301,1
0.4572908992704337,0.5427091007295665,0
0.4453899069059227,0.5546100930940774,1
0.444540287702042,0.5554597122979581,1
0.4530949727312612,0.5469050272687388,0
0.4522034447898768,0.5477965552101232,0
0.45854353928400066,0.5414564607159993,0
0.45856567179450275,0.5414343282054972,0
0.45176492414396796,0.5482350758560319,0
0.44062650595141617,0.5593734940485839,1
0.4650601233919908,0.5349398766080091,0
0.46637316465851997,0.53362683534148,0
0.4357492218520003,0.5642507781479997,1
0.4379430723881674,0.5620569276118326,1
0.44612841308062345,0.5538715869193765,0
0.470229934783296,0.5297700652167039,0
0.4445295589667915,0.5554704410332085,1
0.4640860452047627,0.5359139547952373,0
0.4685424484007252,0.531457551599275,0
0.4658965225117195,0.5341034774882805,0
0.4578701082106071,0.542129891789393,0
0.4421648541801354,0.5578351458198646,1
0.44099125308496234,0.5590087469150378,1
0.4435783736980936,0.5564216263019064,1
0.4525251342409561,0.5474748657590438,0
0.4646667466860493,0.5353332533139505,0
0.4640541113094162,0.5359458886905839,0
0.42983648288299575,0.5701635171170043,1
0.44573985482569867,0.5542601451743012,0
0.44773970624340775,0.5522602937565924,0
0.4804562703954548,0.5195437296045452,0
0.4444313906385127,0.5555686093614873,1
0.4519171671905221,0.5480828328094779,0
0.46857968304236086,0.5314203169576391,0
0.4510276338991012,0.548972366100899,0
0.45218442458790153,0.5478155754120984,0
0.469504718359884,0.5304952816401163,0
0.49275521374306963,0.5072447862569303,0
0.45137016091448595,0.548629839085514,0
0.4504728262477686,0.5495271737522315,0
0.45629401675483017,0.5437059832451699,0
0.4366903320927092,0.5633096679072909,1
0.4541353140962589,0.545864685903741,0
0.47934198595054,0.5206580140494601,0
0.4650554248148623,0.5349445751851378,0
0.46362067835900117,0.536379321640999,0
0.4619285256659466,0.5380714743340532,0
